Protein Names	Gene Names	mRNA copy number experiment [molecules/cell]	Protein copy number experiment [molecules/cell]
Transmembrane emp24 domain-containing protein 3	Tmed3	34.93	35329.17
Transmembrane emp24 domain-containing protein 4	Tmed4	15.78	200798.02
Transmembrane emp24 domain-containing protein 5	Tmed5	16.39	627509.42
Transmembrane protein 109	Tmem109	66.03	344402.85
Transmembrane protein 11	Tmem11	23.6	348985.12
Transmembrane protein 111	Tmem111	25.85	132484.25
Transmembrane protein 120A	Tmem120a	37.19	48337.43
Transmembrane protein 126A	Tmem126a	44.64	297988.5
Transmembrane protein 126B	Tmem126b	4.79	22492.15
Transmembrane protein 131	Tmem131	16.26	700.9
Transmembrane protein 14C	Tmem14c	36.01	17535.9
Transmembrane protein 160	Tmem160	15.47	24006.36
Transmembrane protein 165	Tmem165	29.33	13126.39
Transmembrane protein 167A	Tmem167a	4.92	90515.36
Transmembrane protein 173	Tmem173	7.94	16988
Transmembrane protein 176A	Tmem176a	93.39	63574.39
Transmembrane protein 176B	Tmem176b	140.77	317936.53
Transmembrane protein 188	Tmem188	8.49	52660.11
Transmembrane protein 19	Tmem19	7.07	39014.96
Transmembrane protein 199	Tmem199	18.19	39153.89
Transmembrane protein 214	Tmem214	25.13	107982.61
Transmembrane protein 33	Tmem33	11.59	539660.03
Transmembrane protein 41B	Tmem41b	4.02	14396.39
Transmembrane protein 43	Tmem43	23.24	431014.45
Transmembrane protein 49	Tmem49	52.84	18935.03
Transmembrane protein 50B	Tmem50b	6.9	16194.31
Transmembrane protein 55A	Tmem55a	12.37	36835.93
Transmembrane protein 55B	Tmem55b	23.17	18127.59
Transmembrane protein 59	Tmem59	42.29	6736.74
Transmembrane protein 65	Tmem65	8.47	10144.22
Transmembrane protein 85	Tmem85	44.92	41954.7
Transmembrane protein 9	Tmem9	22.29	51412.57
Transmembrane protein 93	Tmem93	29.81	110532.35
Transmembrane protein 97	Tmem97	60.2	155349.92
Transmembrane protein C20orf108 homolog	2010011I20Rik	1.24	20075.23
Transmembrane protein C3orf1 homolog		3.77	5689
Transmembrane protein C9orf46 homolog		10.35	238399.67
Transportin-1	Tnpo1	41.1	253844.92
Transportin-2	Tnpo2	25.95	5614.08
Transportin-3	Tnpo3	41.01	146985.47
Treacle protein	Tcof1	16.28	44183.11
Trifunctional enzyme subunit alpha, mitochondrial	Hadha	20.47	426852.12
Trifunctional enzyme subunit beta, mitochondrial	Hadhb		532260.54
Trifunctional purine biosynthetic protein adenosine-3	Gart	33.03	299957.62
Trimethyllysine dioxygenase, mitochondrial	Tmlhe		4109.4
Trinucleotide repeat-containing gene 18 protein	Tnrc18	13.41	535.54
Trinucleotide repeat-containing gene 6A protein	Tnrc6a	17.83	225.8
TRIO and F-actin-binding protein	Triobp	11.06	6529.32
Triosephosphate isomerase	Tpi1	138.5	4076299.03
Tripartite motif protein 25	Trim25	11.5	3636.22
Tripartite motif-containing 26	Trim26	6.81	2754.8
Tripartite motif-containing protein 16	Trim16	8.06	21839.11
Tripartite motif-containing protein 3	Trim3	14.51	47027.72
Tripartite motif-containing protein 32	Trim32	11.13	10209.55
Tripartite motif-containing protein 47	Trim47	22.86	231686.58
Tripartite motif-containing protein 56	Trim56		18383.19
Tripartite motif-containing protein 59	Trim59	22.04	2873.74
Tripartite motif-containing protein 65	Trim65	5.06	4777.8
Tripeptidyl-peptidase 2	Tpp2		383480.35
Triple functional domain protein	Trio	14.4	11368.62
TRM112-like protein	0610038D11Rik	36.84	602832.41
TRM1-like protein	Trm1l		6994.97
tRNA (adenine-N(1)-)-methyltransferase catalytic subunit TRMT61A	Trmt61a	14.25	162688.41
tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit TRM6	Trmt6	24.43	43835.69
tRNA (cytosine-5-)-methyltransferase NSUN2	Nsun2	60.21	270164.61
tRNA (guanine-N(1)-)-methyltransferase	Trmt5	6.84	14300.23
tRNA (guanine-N(7)-)-methyltransferase	Mettl1	16.19	103773.45
tRNA pseudouridine synthase A	Pus1	38.06	110534.6
tRNA pseudouridine synthase-like 1	Pusl1		42808.69
tRNA wybutosine-synthesizing protein 1 homolog	Tyw1	12.13	1474.29
tRNA wybutosine-synthesizing protein 3 homolog	Tyw3		5979.29
tRNA-dihydrouridine synthase 1-like	Dus1l		6410.62
tRNA-dihydrouridine synthase 3-like	Dus3l	12.79	8450.44
tRNA-nucleotidyltransferase 1, mitochondrial	Trnt1	19.57	274057.1
tRNA-specific adenosine deaminase 2	Adat2	3.5	8470.45
tRNA-specific adenosine deaminase-like protein 3	Adat3	7.3	21595.23
tRNA-splicing endonuclease subunit Sen2	Tsen2	4.57	1636.79
tRNA-splicing endonuclease subunit Sen34	Tsen34	20.62	36899.04
Tropomodulin-3	Tmod3	16.43	333656.41
Tropomyosin alpha-4 chain	Tpm4	200.89	1975124.56
Tropomyosin beta chain	Tpm2	51.01	24895.73
Tropomyosin beta chain	Tpm2		192375.79
Truncated ceruloplasmin	Cp	21.72	15107.1
Tryptophan-rich protein	Wrb	7.08	17647.63
Tryptophanyl-tRNA synthetase, cytoplasmic	Wars	25.38	236688.39
TSC22 domain family protein 1	Tsc22d1	63.67	105103.44
Tsukushin	Tsku	24.14	12667.87
Tubal3 protein	Tubal3		5991.28
Tubby-related protein 3	Tulp3	9.29	6249.86
Tuberin	Tsc2	10.74	353.9
Tubgcp6 protein	Tubgcp6		1085.74
Tubulin alpha-1A chain	Tuba1a		15253427.71
Tubulin alpha-1C chain	Tuba1c		774734.29
Tubulin alpha-4A chain	Tuba4a	14.32	291695.88
Tubulin beta-2B chain	Tubb2b	6.72	328287.3
Tubulin beta-3 chain	Tubb3		20443.36
Tubulin beta-4 chain	Tubb4		296773.83
Tubulin beta-5 chain	Tubb5	501.72	19784973.96
Tubulin beta-6 chain	Tubb6	146.07	825454.46
Tubulin folding cofactor B	Tbcb	33.9	347442.87
Tubulin gamma-1 chain	Tubg1	52.6	148870.48
Tubulin-specific chaperone A	Tbca	71.9	735562.05
Tubulin-specific chaperone C	Tbcc	8.25	54625.77
Tubulin-specific chaperone D	Tbcd		41245.21
Tubulin-specific chaperone E	Tbce	7.72	4347.12
Tubulin--tyrosine ligase	Ttl	5.48	8085.83
Tubulin--tyrosine ligase-like protein 12	Ttll12	35.19	413789.23
Tuftelin-interacting protein 11	Tfip11	26.03	16833.59
Tumor necrosis factor receptor type 1-associated DEATH domain protein	Tradd	6.39	51503.91
Tumor necrosis factor, alpha-induced protein 8	Tnfaip8	7.99	50439.5
Tumor protein D52	Tpd52	17.27	183373.6
Tumor protein D52-like 2	Tpd52l2		660817.41
Tumor protein p63-regulated gene 1-like protein	Tprg1l		6366.79
Tumor suppressor candidate gene 1 protein homolog	Tusc1	2.73	15099.84
Tumor susceptibility gene 101 protein	Tsg101	14.61	104910.3
Twinfilin-1	Twf1		859836.6
Twinfilin-2	Twf2	9.76	122272.33
Twisted gastrulation protein homolog 1	Twsg1	15.82	23446.25
Tyrosine-protein kinase BAZ1B	Baz1b	43.2	150490.35
Tyrosine-protein kinase-like 7	Ptk7	7.66	4443.8
Tyrosine-protein kinase-protein kinase SgK269	Sgk269	17.78	5667.38
Tyrosine-protein phosphatase non-receptor type 1	Ptpn1	9.8	25525.36
Tyrosine-protein phosphatase non-receptor type 11	Ptpn11	37.54	118705.13
Tyrosine-protein phosphatase non-receptor type 12	Ptpn12	19.08	11535.06
Tyrosine-protein phosphatase non-receptor type 14	Ptpn14		212.33
Tyrosine-protein phosphatase non-receptor type 2	Ptpn2	2.38	14166.55
Tyrosine-protein phosphatase non-receptor type 23	Ptpn23	22.14	55645.96
Tyrosine-protein phosphatase non-receptor type 9	Ptpn9	16.62	1451.04
Tyrosyl-DNA phosphodiesterase 1	Tdp1	8.36	3422.99
Tyrosyl-tRNA synthetase, cytoplasmic	Yars	34.45	649757.61
Tyrosyl-tRNA synthetase, mitochondrial	Yars2	13.09	100489.8
U1 small nuclear ribonucleoprotein 70 kDa	Snrnp70	113.42	823271.25
U1 small nuclear ribonucleoprotein A	Snrpa	51.15	1257910.49
U1 small nuclear ribonucleoprotein C	Snrpc	58.24	98255.76
U2 small nuclear ribonucleoprotein A'	Snrpa1	36.28	1480720.38
U2 small nuclear ribonucleoprotein B''	Snrpb2	34.75	591238.47
U2-associated protein SR140	Sr140	8.17	119430.03
U3 small nucleolar ribonucleoprotein protein IMP3	Imp3	34.73	294854.08
U3 small nucleolar ribonucleoprotein protein IMP4	Imp4	25.56	240840.73
U3 small nucleolar ribonucleoprotein protein MPP10	Mphosph10	18.83	85470.88
U3 small nucleolar RNA-associated protein 14 homolog A	Utp14a	14.45	52600.42
U3 small nucleolar RNA-associated protein 15 homolog	Utp15	9.26	70546.64
U3 small nucleolar RNA-associated protein 18 homolog	Utp18	21.99	269979.85
U3 small nucleolar RNA-associated protein 6 homolog	Utp6	23.91	101208.99
U3 small nucleolar RNA-interacting protein 2	Rrp9	44.52	179061.11
U4/U6 small nuclear ribonucleoprotein Prp3	Prpf3	21.75	69656.77
U4/U6 small nuclear ribonucleoprotein Prp31	Prpf31	17.52	131007.55
U4/U6 small nuclear ribonucleoprotein Prp4	Prpf4	7.58	175512.69
U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	Snrnp27	17.09	56310.26
U4/U6.U5 tri-snRNP-associated protein 1	Sart1	17.99	53917.01
U4/U6.U5 tri-snRNP-associated protein 2	Usp39	34.8	91206.72
U5 small nuclear ribonucleoprotein 40 kDa protein	Snrnp40	33.39	537936.03
U6 snRNA-associated Sm-like protein LSm1	Lsm1	6.26	255120.97
U6 snRNA-associated Sm-like protein LSm2	Lsm2	63.4	140777.48
U6 snRNA-associated Sm-like protein LSm3	Lsm3	59.14	5551291.1
U6 snRNA-associated Sm-like protein LSm5	Lsm5		203715.01
U6 snRNA-associated Sm-like protein LSm6	Lsm6	8.47	290911.98
U6 snRNA-associated Sm-like protein LSm7	Lsm7		172168.82
U6 snRNA-associated Sm-like protein LSm8	Lsm8	45.87	370735.29
U6 snRNA-specific terminal uridylyltransferase 1	Tut1	11.61	2010.63
U7 snRNA-associated Sm-like protein LSm10	Lsm10	10.19	28541.03
UbiE1	Mettl7a1		4101
Ubinuclein-2	Ubn2	3.42	6991.85
Ubiquilin 2	Ubqln2	29.13	303350.6
Ubiquilin-1	Ubqln1	44.15	119271.04
Ubiquilin-4	Ubqln4	28.76	9210.84
Ubiquinol-cytochrome c reductase complex chaperone CBP3 homolog	Uqcc	13.06	35751.36
Ubiquinone biosynthesis methyltransferase COQ5, mitochondrial	Coq5	9.44	9587.19
Ubiquinone biosynthesis protein COQ9, mitochondrial	Coq9	7.52	6307.95
Ubiquitin carboxyl-terminal hydrolase	Usp9y		2261.49
Ubiquitin carboxyl-terminal hydrolase	Usp8	11.94	7815.18
Ubiquitin carboxyl-terminal hydrolase	Usp4	27.95	18766.94
Ubiquitin carboxyl-terminal hydrolase	Usp9x	43.69	80636.25
Ubiquitin carboxyl-terminal hydrolase 10	Usp10	15.63	11996.86
Ubiquitin carboxyl-terminal hydrolase 12	Usp12		1706.95
Ubiquitin carboxyl-terminal hydrolase 14	Usp14	17.36	226651.55
Ubiquitin carboxyl-terminal hydrolase 15	Usp15	25.83	33096.46
Ubiquitin carboxyl-terminal hydrolase 19	Usp19	22.64	19165.36
Ubiquitin carboxyl-terminal hydrolase 24	Usp24	9.96	5671.57
Ubiquitin carboxyl-terminal hydrolase 25	Usp25	7.04	363.64
Ubiquitin carboxyl-terminal hydrolase 3	Usp3	12.31	4533.83
Ubiquitin carboxyl-terminal hydrolase 30	Usp30	10.77	1039.93
Ubiquitin carboxyl-terminal hydrolase 34	Usp34		3620.83
Ubiquitin carboxyl-terminal hydrolase 36	Usp36		871.29
Ubiquitin carboxyl-terminal hydrolase 40	Usp40	6.74	1409.03
Ubiquitin carboxyl-terminal hydrolase 47	Usp47	30.41	63931.96
Ubiquitin carboxyl-terminal hydrolase 48	Usp48	11.06	2770.36
Ubiquitin carboxyl-terminal hydrolase 5	Usp5	47.2	285200.93
Ubiquitin carboxyl-terminal hydrolase 7	Usp7	25.42	74315.93
Ubiquitin carboxyl-terminal hydrolase isozyme L3	Uchl3	51.08	818355.96
Ubiquitin carboxyl-terminal hydrolase isozyme L5	Uchl5	14.27	418498.87
Ubiquitin conjugation factor E4 B	Ube4b	17.38	26940.52
Ubiquitin cross-reactive protein	Isg15		36401.42
Ubiquitin domain-containing protein UBFD1	Ubfd1	11.33	198240.56
Ubiquitin protein ligase E3 component n-recognin 1	Ubr1	4.46	1601.91
Ubiquitin thioesterase OTUB1	Otub1	62.4	1278774.96
Ubiquitin/ISG15-conjugating enzyme E2 L6	Ube2l6	7.2	15610.64
Ubiquitin-associated protein 2	Ubap2	33.97	97599.88
Ubiquitin-associated protein 2-like	Ubap2l	54.56	241332.93
Ubiquitination factor E4B, UFD2 homolog (S. cerevisiae)	Ube4b		59669.25
Ubiquitin-conjugating enzyme	Birc6	13.3	34475.19
Ubiquitin-conjugating enzyme E2 A	Ube2a	14.61	159788.48
Ubiquitin-conjugating enzyme E2 C	Ube2c	77.24	257394.5
Ubiquitin-conjugating enzyme E2 D2	Ube2d2	11.43	80871.11
Ubiquitin-conjugating enzyme E2 D3	Ube2d3	39.91	2486752.32
Ubiquitin-conjugating enzyme E2 E3	Ube2e3	22.3	27458.72
Ubiquitin-conjugating enzyme E2 G1	Ube2g1	9.7	12305.09
Ubiquitin-conjugating enzyme E2 G2	Ube2g2	36.1	94182.15
Ubiquitin-conjugating enzyme E2 H	Ube2h	7.21	163868.81
Ubiquitin-conjugating enzyme E2 J1	Ube2j1	12.54	37940.87
Ubiquitin-conjugating enzyme E2 K	Ube2k	17.12	862867.05
Ubiquitin-conjugating enzyme E2 L3	Ube2l3	29.29	2031143.53
Ubiquitin-conjugating enzyme E2 N	Ube2n		1747084.18
Ubiquitin-conjugating enzyme E2 Q1	Ube2q1	13.31	9433.21
Ubiquitin-conjugating enzyme E2 Q2	Ube2q2	8.22	6142.85
Ubiquitin-conjugating enzyme E2 R1	Cdc34	65.03	111540.43
Ubiquitin-conjugating enzyme E2 R2	Ube2r2	21.51	76595.42
Ubiquitin-conjugating enzyme E2 S	Ube2s		227139.84
Ubiquitin-conjugating enzyme E2 T	Ube2t	5.83	8709.15
Ubiquitin-conjugating enzyme E2 variant 2	Ube2v2		1146059.96
Ubiquitin-conjugating enzyme E2 Z	Ube2z	45.74	281391.18
Ubiquitin-conjugating enzyme E2, J2 homolog (Yeast)	Ube2j2		6790.9
Ubiquitin-conjugating enzyme E2O	Ube2o		99872.12
Ubiquitin-fold modifier 1	Ufm1	10.35	249226.66
Ubiquitin-like domain-containing CTD phosphatase 1	Ublcp1	4.24	74939.1
Ubiquitin-like modifier-activating enzyme 1	Uba1	169.13	1186256.66
Ubiquitin-like modifier-activating enzyme 5	Uba5	9.62	21705.75
Ubiquitin-like modifier-activating enzyme 6	Uba6	7.79	73690.37
Ubiquitin-like protein 3	Ubl3		28486.22
Ubiquitin-like protein 4A	Ubl4a	41.42	490959.78
Ubiquitin-like protein 5	Ubl5	12.84	40166.53
Ubiquitin-like protein 7	Ubl7	12.41	23292.04
Ubiquitin-protein ligase E3C	Ube3c	22.74	19260.79
Ubiquitin-related modifier 1 homolog	Urm1	12.34	34813.17
UBX domain-containing protein 1	Ubxn1	65.65	314098.83
UBX domain-containing protein 4	Ubxn4	19.66	88947.93
UBX domain-containing protein 6	Ubxn6	11.13	20827.36
UCH37-interacting protein 1	Uchl5ip	20.27	8875.92
UDP-glucose 6-dehydrogenase	Ugdh	65.81	817822.58
UDP-glucose:glycoprotein glucosyltransferase 1	Ugcgl1	11.68	142914.76
UDP-glucuronosyltransferase 1-6	Ugt1a6	9.56	59529.48
UDP-N-acetylglucosamine transferase subunit ALG13 homolog	Alg13	5.26	25387.31
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt		2927.13
UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	Ogt	20.85	53553.13
UDP-N-acetylhexosamine pyrophosphorylase	Uap1	10.15	33752.06
Ufm1-conjugating enzyme 1	Ufc1	44.76	108835.32
Ufm1-specific protease 2	Ufsp2	11.03	12611.2
UHRF1-binding protein 1-like	Uhrf1bp1l	12.3	942.14
UMP-CMP kinase	Cmpk1	18.8	431621.29
Uncharacterized glycosyltransferase AER61	Aer61	10.19	6334.9
Uncharacterized methyltransferase WBSCR22	Wbscr22	18.61	15197.63
Uncharacterized potential DNA-binding protein C17orf49 homolog	0610010K14Rik		12410.53
Uncharacterized protein C10orf78 homolog	6330577E15Rik	29.38	8803.96
Uncharacterized protein C10orf88 homolog		3.93	3858.01
Uncharacterized protein C11orf46 homolog	2700007P21Rik	10.85	3717.88
Uncharacterized protein C11orf73 homolog	L7rn6	15.89	72771.69
Uncharacterized protein C12orf11 homolog	RP23-158O11.1		4444.59
Uncharacterized protein C12orf29 homolog		1.72	6036.67
Uncharacterized protein C12orf45 homolog	D10Wsu102e	24.09	12256.01
Uncharacterized protein C13orf27 homolog		12.9	22680.26
Uncharacterized protein C14orf138 homolog	Gm71	9.88	19869.01
Uncharacterized protein C16orf61 homolog		6.55	864.24
Uncharacterized protein C17orf37 homolog	1810046J19Rik	28.73	15062.38
Uncharacterized protein C17orf62 homolog			207929.77
Uncharacterized protein C17orf85 homolog	RP23-263M10.5	3.74	5252.68
Uncharacterized protein C18orf19 homolog		3.01	18060.28
Uncharacterized protein C19orf12 homolog		2.98	20689.74
Uncharacterized protein C19orf29 homolog	2510012J08Rik	27.41	10291.3
Uncharacterized protein C19orf43 homolog		48.82	44561.41
Uncharacterized protein C19orf52 homolog		10.18	105153.6
Uncharacterized protein C19orf60 homolog		39.63	313765.57
Uncharacterized protein C1orf103 homolog	4933421E11Rik	5.18	5647.63
Uncharacterized protein C1orf131 homolog	2810004N23Rik		10563.26
Uncharacterized protein C1orf198 homolog			6036.31
Uncharacterized protein C1orf50 homolog	AU022252	2.85	8059.45
Uncharacterized protein C1orf77 homolog	MNCb-1706		329747.41
Uncharacterized protein C1orf85 homolog		50.71	98395.67
Uncharacterized protein C20orf4 homolog	0610011L14Rik	6.57	1869.57
Uncharacterized protein C21orf70 homolog	1810008A18Rik	25.48	257111.01
Uncharacterized protein C22orf9 homolog	Kiaa0930	23.06	2290.76
Uncharacterized protein C2orf29 homolog	D1Bwg0212e	7.92	14025.2
Uncharacterized protein C2orf47 homolog, mitochondrial		9.02	6249.75
Uncharacterized protein C3orf21 homolog		8.14	3448.51
Uncharacterized protein C3orf26 homolog		8.28	47572.03
Uncharacterized protein C3orf38 homolog	4930453N24Rik	21.42	2345.43
Uncharacterized protein C3orf63 homolog	D14Abb1e	2.16	3336.28
Uncharacterized protein C4orf14 homolog	MNCb-4931	17.37	5464.99
Uncharacterized protein C4orf3 homolog		19.73	24096.7
Uncharacterized protein C4orf8 homolog	BC037112	9.81	6718.33
Uncharacterized protein C6orf125 homolog		103	91616.44
Uncharacterized protein C6orf130 homolog	AI314976	6.89	760693.33
Uncharacterized protein C6orf203 homolog		7.99	9306.41
Uncharacterized protein C7orf30 homolog		17.21	74568.46
Uncharacterized protein C7orf50 homolog		18.26	34275.86
Uncharacterized protein C8orf37 homolog	RP23-144K18.5-001	3.34	13933.93
Uncharacterized protein C9orf114 homolog	D2Wsu81e	12.68	14224.04
Uncharacterized protein C9orf80 homolog		5.42	127164.96
Uncharacterized protein CXorf38 homolog	1810030O07Rik	10.05	10451.04
Uncharacterized protein FLJ45252 homolog			35177.44
Uncharacterized protein KIAA0090	Kiaa0090	14.96	72928.39
Uncharacterized protein KIAA0564 homolog	Kiaa0564	4.67	3455.64
Uncharacterized protein KIAA0892	Kiaa0892	7.95	1745.66
Uncharacterized protein KIAA1522	Kiaa1522	13.29	616.71
Uncharacterized protein KIAA1797	Kiaa1797	4.44	3049.47
Uncharacterized protein KIAA2013	Kiaa2013	20.92	7466.76
Uncharacterized protein LOC388588 homolog			13403.84
UPF0027 protein C22orf28 homolog	D10Wsu52e	89.82	600006.03
UPF0160 protein MYG1, mitochondrial	Myg1		367645.09
UPF0195 protein FAM96B	Fam96b	27.88	144167.51
UPF0197 transmembrane protein C11orf10 homolog	1810006K21Rik	76.41	108746.82
UPF0317 protein C14orf159 homolog, mitochondrial	9030617O03Rik	8.78	58753.87
UPF0327 protein C1orf151 homolog	2310028O11Rik	15	3085.8
UPF0361 protein DC12 homolog		18.81	7817.58
UPF0363 protein C7orf20 homolog		52.24	173090.85
UPF0366 protein C11orf67 homolog	1810020D17Rik	4.25	8885.82
UPF0368 protein Cxorf26 homolog	2610029G23Rik	18.51	879053.31
UPF0389 protein FAM162A	Fam162a	52.84	823788.54
UPF0404 protein C11orf59 homolog		53.25	607064.6
UPF0405 protein C3orf75 homolog	Tmem103	7.54	34322.68
UPF0414 transmembrane protein C20orf30 homolog	5730494N06Rik	2.64	12858
UPF0415 protein C7orf25 homolog		8.96	71419.66
UPF0418 protein FAM164A	Fam164a	5.37	43800.75
UPF0428 protein CXorf56 homolog		9.62	48985.12
UPF0436 protein C9orf6 homolog		10.35	14160.62
UPF0444 transmembrane protein C12orf23 homolog		5.86	50289.55
UPF0448 protein C10orf104 homolog	D10Ertd641e	44.18	24791
UPF0449 protein C19orf25 homolog		22.66	65831.01
UPF0461 protein C5orf24 homolog		17.91	5796.38
UPF0463 transmembrane protein C6orf35 homolog		22.04	6443.72
UPF0464 protein C15orf44 homolog		12.48	3345.07
UPF0465 protein C5orf33 homolog	1110020G09Rik	11.15	194218.67
UPF0466 protein C22orf32 homolog, mitochondrial		115.71	24937.98
UPF0468 protein C16orf80 homolog	Gtl3	13.5	62314.68
UPF0469 protein KIAA0907	Kiaa0907	22.03	7428.51
UPF0480 protein C15orf24 homolog	ORF3	39.05	207877.43
UPF0488 protein C8orf33 homolog		15.08	49762.63
UPF0505 protein C16orf62 homolog			590.26
UPF0510 protein C19orf63 homolog		38.93	12149.22
UPF0518 protein FAM160A2	Fam160a2	8.19	5871.13
UPF0534 protein C4orf43 homolog		7.62	23003.32
UPF0538 protein C2orf76 homolog			9606.31
UPF0539 protein C7orf59 homolog		24.45	275365.31
UPF0549 protein C20orf43 homolog	2410001C21Rik	18.26	10862.18
UPF0550 protein C7orf28 homolog			4807.7
UPF0551 protein C8orf38 homolog, mitochondrial		5.78	3626.47
UPF0552 protein C15orf38 homolog		15.09	184569.63
UPF0554 protein C2orf43 homolog		12.18	52904.46
UPF0555 protein KIAA0776	Kiaa0776	2.6	14820.45
UPF0556 protein C19orf10 homolog	D17Wsu104e	54.47	404105.11
